"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"1400000US12083002303","Census Tract 23.03, Marion County, Florida","1781","1566","1297","180","3","14","1","71","215","195","39","46","7","0","93","3","0","0","7","0","0","0","0","0","0","16","7","0","0","5","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2",
"1400000US12083002304","Census Tract 23.04, Marion County, Florida","5663","5200","4535","306","4","214","2","139","463","448","35","93","41","0","261","3","2","0","10","0","0","2","0","0","1","11","0","1","0","1","1","0","2","1","4","0","0","0","0","1","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1",
"1400000US12083002401","Census Tract 24.01, Marion County, Florida","5160","4652","3501","486","20","397","3","245","508","487","28","71","57","0","308","3","1","0","10","0","0","3","3","2","1","17","5","2","0","7","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002402","Census Tract 24.02, Marion County, Florida","5760","5248","4351","363","24","308","4","198","512","496","61","79","50","2","276","5","2","1","11","3","0","5","0","1","0","14","5","3","0","1","1","0","2","0","1","0","0","0","1","0","0","0","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002503","Census Tract 25.03, Marion County, Florida","7089","6401","4577","1373","25","55","0","371","688","678","97","89","16","0","435","15","1","1","16","0","0","3","0","4","1","6","2","0","0","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0",
"1400000US12083002504","Census Tract 25.04, Marion County, Florida","5788","5233","3679","1061","25","104","3","361","555","531","51","51","10","4","394","3","0","4","13","0","1","0","0","0","0","22","8","4","0","4","3","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002505","Census Tract 25.05, Marion County, Florida","6574","5862","4488","467","12","582","0","313","712","681","68","72","48","3","463","0","1","0","17","0","0","0","0","7","2","26","2","0","1","11","1","0","4","0","4","0","0","0","3","0","0","0","0","0","0","0","5","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002506","Census Tract 25.06, Marion County, Florida","2430","2027","1554","138","22","26","1","286","403","386","11","35","2","3","308","2","6","0","7","2","0","7","0","3","0","15","2","0","0","1","1","0","4","6","0","0","0","0","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002507","Census Tract 25.07, Marion County, Florida","5856","4905","3261","603","12","491","6","532","951","904","49","57","77","0","664","7","6","3","34","0","0","1","0","5","1","45","15","5","0","3","0","0","7","4","9","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1",
"1400000US12083002602","Census Tract 26.02, Marion County, Florida","7213","6332","4668","626","46","40","0","952","881","856","50","108","13","4","648","5","0","0","25","0","0","2","0","1","0","21","4","1","0","0","2","0","7","3","0","1","0","0","1","2","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
